State,State policy commitment name,Status,Link
AL,B.3. SNAP Food Restriction Waiver Policy,Not yet started,http://localhost:3000/
AK,B.2. Presidential Fitness Test,Not yet started,http://localhost:3000/
AK,B.3. SNAP Food Restriction Waiver Policy,Not yet started,https://jiraent.cms.gov/secure/RapidBoard.jspa?rapidView=7985&projectKey=CMDCT#
AK,B.4. Nutrition Continuing Medical Education,Not yet started,https://jiraent.cms.gov/secure/RapidBoard.jspa?rapidView=7985&projectKey=CMDCT#
AK,C.3. CON - Ancillaries,Not yet started,
AK,D.2. Physician - Medical Licensure Compact,Not yet started,
AK,D.2. Nurse - Nurse Licensure Compact,Not yet started,
AK,D.2. EMS - EMS Compact,Not yet started,
AK,D.2. Psychology - PSYPACT,Not yet started,
AK,D.2. Physician Assistant - PA Compact,Not yet started,
AK,D.3. Pharmacist - Overall Score,Not yet started,
AK,D.3. Pharmacist - Lab Testing,Not yet started,
AK,D.3. Pharmacist - Independent Prescribing,Not yet started,
